#query	target	e-value	identity (%)	score
YAL001C				
YNR061C				
YNR062C				
YNR063W				
YNR064C				
YNR065C	Paxin1_165913	1e-143	32%	468
YNR066C	Paxin1_165913	1e-12	22%	69.3
YNR067C				
YNR068C				
YNR069C				
YNR070W	Paxin1_113734	0.0	41%	1036
YNR070W	Paxin1_169539	0.0	41%	1026
YNR070W	Paxin1_12440	0.0	40%	995
YNR070W	Paxin1_117609	0.0	40%	986
YNR070W	Paxin1_170181	0.0	40%	969
YNR071C				
YNR072W	Paxin1_86777	2e-110	36%	338
YNR072W	Paxin1_113728	3e-85	33%	274
YNR072W	Paxin1_169976	1e-81	33%	265
YNR072W	Paxin1_169083	6e-60	30%	207
YNR072W	Paxin1_167136	1e-57	29%	201
YNR073C				
YNR074C	Paxin1_160036	8e-20	28%	89.0
YNR075C-A				
YNR075W				
YNR076W				
YNR077C				
YOL001W	Paxin1_167224	1e-36	42%	130
YOL001W	Paxin1_174415	5e-13	34%	68.2
YOL002C	Paxin1_172361	8e-59	36%	190
YOL002C	Paxin1_167180	3e-21	30%	92.8
YOL003C	Paxin1_160011	4e-25	30%	104
YOL003C	Paxin1_112529	3e-16	44%	79.3
YOL003C	Paxin1_163698	9e-15	32%	73.6
YOL003C	Paxin1_161618	1e-14	25%	73.9
YOL003C	Paxin1_167627	1e-13	44%	70.5
YOL004W	Paxin1_173973	0.0	34%	598
YOL004W	Paxin1_134088	3e-119	31%	405
YOL005C	Paxin1_99239	2e-31	45%	107
YOL006C	Paxin1_173454	0.0	52%	654
YOL007C				
YOL008W				
YOL009C				
YOL010W	Paxin1_131931	9e-94	41%	283
YOL010W	Paxin1_167996	1e-12	24%	67.4
YOL011W	Paxin1_81530	2e-93	33%	301
YOL011W	Paxin1_129113	2e-81	33%	271
YOL012C	Paxin1_170244	7e-53	63%	162
YOL012C	Paxin1_140776	5e-42	57%	135
YOL012C	Paxin1_139683	5e-42	57%	135
YOL012C	Paxin1_171855	2e-40	61%	130
YOL012C	Paxin1_119053	4e-39	58%	127
YOL013C	Paxin1_70245	5e-22	22%	97.1
YOL013W-A				
YOL013W-B				
YOL014W				
YOL015W				
YOL016C	Paxin1_168826	2e-83	45%	263
YOL016C	Paxin1_88902	3e-81	39%	256
YOL016C	Paxin1_160756	2e-45	31%	165
YOL016C	Paxin1_174169	8e-41	36%	154
YOL016C	Paxin1_156431	1e-39	32%	151
YOL017W				
YOL018C	Paxin1_69808	5e-33	28%	125
YOL019W				
YOL019W-A				
YOL020W	Paxin1_165046	4e-96	35%	303
YOL020W	Paxin1_6905	5e-86	36%	276
YOL020W	Paxin1_168793	2e-84	31%	272
YOL020W	Paxin1_66349	2e-80	34%	261
YOL020W	Paxin1_6870	5e-79	33%	259
YOL021C	Paxin1_168948	0.0	45%	836
YOL021C	Paxin1_160718	2e-78	29%	280
YOL022C	Paxin1_65908	4e-18	27%	84.7
YOL023W	Paxin1_180879	2e-83	36%	282
YOL023W	Paxin1_160497	8e-26	31%	112
YOL024W				
YOL025W				
YOL026C				
YOL027C	Paxin1_112751	6e-67	36%	228
YOL028C				
YOL029C				
YOL030W	Paxin1_164923	4e-61	35%	208
YOL031C				
YOL032W	Paxin1_168457	1e-17	30%	77.8
YOL033W	Paxin1_127567	1e-97	37%	304
YOL033W	Paxin1_172129	1e-12	25%	69.3
YOL034W	Paxin1_31680	3e-98	26%	337
YOL034W	Paxin1_182241	4e-13	30%	72.8
YOL035C				
YOL036W				
YOL037C				
YOL038C-A				
YOL038W	Paxin1_167947	2e-113	66%	325
YOL038W	Paxin1_166295	1e-43	38%	147
YOL038W	Paxin1_172319	7e-42	37%	142
YOL038W	Paxin1_161236	1e-33	34%	120
YOL038W	Paxin1_7149	1e-32	36%	124
YOL039W	Paxin1_165698	1e-20	47%	79.0
YOL040C	Paxin1_165697	2e-63	66%	190
YOL041C	Paxin1_73000	3e-22	28%	97.4
YOL042W	Paxin1_70889	4e-26	24%	108
YOL043C	Paxin1_82761	2e-51	40%	175
YOL044W				
YOL045W	Paxin1_165117	8e-44	33%	168
YOL045W	Paxin1_26938	8e-44	35%	159
YOL045W	Paxin1_168752	2e-34	32%	142
YOL045W	Paxin1_156431	2e-28	32%	122
YOL045W	Paxin1_174169	6e-28	30%	120
YOL046C				
YOL047C				
YOL048C				
YOL049W	Paxin1_169421	1e-84	34%	270
YOL050C				
YOL051W				
YOL052C	Paxin1_166804	9e-65	34%	212
YOL052C-A				
YOL053W				
YOL054W				
YOL055C	Paxin1_136935	4e-61	29%	210
YOL056W				
YOL057W	Paxin1_171775	1e-161	40%	481
YOL058W	Paxin1_160149	0.0	62%	541
YOL059W	Paxin1_165280	9e-21	24%	92.8
YOL060C	Paxin1_163239	8e-106	56%	327
YOL060C	Paxin1_96797	5e-74	44%	254
YOL061W	Paxin1_165159	1e-28	50%	114
YOL062C	Paxin1_168211	4e-104	35%	317
YOL062C	Paxin1_168461	4e-54	26%	186
YOL063C				
YOL064C	Paxin1_166575	8e-71	43%	224
YOL065C	Paxin1_162427	7e-26	27%	107
YOL066C	Paxin1_180656	4e-71	47%	239
YOL066C	Paxin1_131958	7e-25	42%	100
YOL066C	Paxin1_13483	8e-16	31%	77.4
YOL067C				
YOL068C	Paxin1_66887	5e-73	40%	240
YOL068C	Paxin1_173346	2e-49	37%	172
YOL068C	Paxin1_124663	1e-20	32%	93.6
YOL068C	Paxin1_135316	4e-13	34%	70.5
YOL069W	Paxin1_112080	1e-13	22%	71.6
YOL070C				
YOL071W	Paxin1_76341	3e-32	53%	112
YOL072W				
YOL073C				
YOL075C	Paxin1_170181	2e-67	26%	249
YOL075C	Paxin1_169539	2e-62	24%	233
YOL075C	Paxin1_117609	3e-59	24%	223
YOL075C	Paxin1_12440	1e-58	25%	221
YOL075C	Paxin1_169702	2e-58	24%	220
YOL076W				
YOL077C	Paxin1_85959	3e-96	54%	283
YOL077W-A				
YOL078W				
YOL079W				
YOL080C	Paxin1_98158	4e-51	51%	172
YOL080C	Paxin1_105359	2e-33	36%	120
YOL080C	Paxin1_67937	3e-15	34%	74.3
YOL080C	Paxin1_179259	9e-15	33%	73.2
YOL081W	Paxin1_166473	3e-54	21%	210
YOL082W				
YOL083C-A				
YOL083W				
YOL084W	Paxin1_76693	5e-84	29%	291
YOL084W	Paxin1_168774	1e-35	22%	145
YOL084W	Paxin1_155549	8e-19	21%	91.3
YOL085C				
YOL085W-A				
YOL086C	Paxin1_162946	1e-81	43%	251
YOL086C	Paxin1_176954	2e-23	33%	98.2
YOL086C	Paxin1_169671	4e-22	28%	94.7
YOL086C	Paxin1_166363	8e-21	27%	91.3
YOL086C	Paxin1_165455	4e-20	28%	89.0
YOL086W-A				
YOL087C				
YOL088C				
YOL089C				
YOL090W	Paxin1_163339	0.0	45%	766
YOL090W	Paxin1_159644	1e-58	28%	216
YOL090W	Paxin1_104273	2e-52	30%	197
YOL090W	Paxin1_180060	2e-49	29%	189
YOL090W	Paxin1_180906	5e-47	43%	181
YOL091W				
YOL092W	Paxin1_175536	4e-53	38%	174
YOL092W	Paxin1_98569	1e-13	39%	70.1
YOL093W	Paxin1_108498	2e-38	37%	137
YOL094C	Paxin1_95553	8e-166	67%	464
YOL094C	Paxin1_106730	2e-68	36%	216
YOL094C	Paxin1_73781	1e-54	43%	181
YOL094C	Paxin1_128226	7e-24	28%	99.4
YOL094C	Paxin1_177467	5e-14	25%	71.6
YOL095C	Paxin1_101407	6e-16	24%	80.9
YOL096C	Paxin1_106720	8e-43	33%	149
YOL097C	Paxin1_167899	0.0	65%	538
YOL097W-A				
YOL098C	Paxin1_63491	1e-164	33%	511
YOL099C				
YOL100W	Paxin1_70522	1e-69	46%	233
YOL100W	Paxin1_166209	8e-52	33%	189
YOL100W	Paxin1_167852	9e-44	33%	172
YOL100W	Paxin1_165719	2e-42	31%	161
YOL100W	Paxin1_80186	8e-42	27%	166
YOL101C				
YOL102C	Paxin1_165503	3e-29	37%	109
YOL103W	Paxin1_176248	9e-82	40%	264
YOL103W	Paxin1_113728	3e-53	31%	189
YOL103W	Paxin1_169976	1e-48	30%	176
YOL103W	Paxin1_169083	1e-45	28%	169
YOL103W	Paxin1_86777	4e-44	31%	164
YOL103W-A				
YOL103W-B	Paxin1_52884	4e-22	24%	100
YOL103W-B	Paxin1_52879	1e-21	31%	95.1
YOL103W-B	Paxin1_52825	2e-20	28%	93.2
YOL103W-B	Paxin1_48658	6e-12	31%	65.1
YOL104C				
YOL105C				
YOL106W				
YOL107W	Paxin1_95520	4e-12	25%	65.5
YOL108C				
YOL109W				
YOL110W				
YOL111C				
YOL112W	Paxin1_84940	4e-32	27%	129
YOL112W	Paxin1_169775	3e-30	32%	124
YOL112W	Paxin1_167263	6e-18	28%	85.5
YOL112W	Paxin1_76480	2e-14	22%	73.6
YOL113W	Paxin1_171217	8e-109	54%	347
YOL113W	Paxin1_160380	2e-89	47%	295
YOL113W	Paxin1_89625	1e-48	35%	171
YOL113W	Paxin1_126405	1e-47	35%	177
YOL113W	Paxin1_10435	1e-37	33%	149
YOL114C	Paxin1_135038	3e-12	30%	61.6
YOL115W	Paxin1_102356	9e-70	40%	241
YOL115W	Paxin1_9342	1e-14	24%	76.6
YOL116W				
YOL117W				
YOL118C				
YOL119C	Paxin1_168761	8e-38	28%	143
YOL119C	Paxin1_138798	1e-34	31%	132
YOL119C	Paxin1_88451	4e-32	29%	125
YOL119C	Paxin1_112537	3e-31	29%	122
YOL119C	Paxin1_88455	1e-26	30%	109
YOL120C	Paxin1_166053	1e-79	64%	234
YOL121C	Paxin1_167828	1e-54	59%	168
YOL122C	Paxin1_104681	1e-89	35%	286
YOL122C	Paxin1_106082	5e-81	34%	264
YOL123W	Paxin1_9277	4e-49	47%	172
YOL123W	Paxin1_82106	3e-48	53%	164
YOL123W	Paxin1_168375	5e-15	29%	77.0
YOL123W	Paxin1_152836	3e-12	26%	67.8
YOL124C	Paxin1_167302	5e-79	35%	251
YOL125W				
YOL126C	Paxin1_9338	2e-79	45%	246
YOL126C	Paxin1_173006	7e-69	42%	219
YOL127W	Paxin1_169355	3e-51	57%	159
YOL128C	Paxin1_168023	1e-74	38%	236
YOL128C	Paxin1_165459	2e-37	31%	137
YOL128C	Paxin1_168917	1e-36	38%	136
YOL128C	Paxin1_172848	5e-36	28%	134
YOL128C	Paxin1_162910	5e-35	28%	130
YOL129W	Paxin1_171641	7e-39	43%	130
YOL130W	Paxin1_108678	4e-113	48%	351
YOL130W	Paxin1_95290	4e-33	43%	135
YOL131W				
YOL132W	Paxin1_164923	1e-50	32%	179
YOL133W	Paxin1_162644	2e-44	66%	139
YOL133W	Paxin1_123045	2e-13	35%	60.8
YOL134C				
YOL135C				
YOL136C	Paxin1_175759	2e-14	30%	73.9
YOL136C	Paxin1_103513	4e-14	30%	72.8
YOL137W	Paxin1_122463	7e-34	26%	132
YOL137W	Paxin1_125972	6e-33	26%	129
YOL138C				
YOL139C	Paxin1_123759	1e-34	36%	124
YOL139C	Paxin1_169331	4e-22	31%	92.4
YOL139C	Paxin1_165590	5e-14	25%	67.0
YOL140W	Paxin1_168515	2e-106	39%	322
YOL140W	Paxin1_167386	1e-55	31%	190
YOL140W	Paxin1_8939	1e-53	30%	184
YOL140W	Paxin1_165587	4e-36	28%	137
YOL141W	Paxin1_99461	2e-12	24%	67.8
YOL142W	Paxin1_175540	6e-42	35%	142
YOL143C	Paxin1_176121	4e-52	44%	164
YOL144W				
YOL145C	Paxin1_14301	5e-73	26%	262
YOL145C	Paxin1_97264	9e-45	28%	172
YOL146W	Paxin1_126174	1e-14	27%	67.8
YOL147C	Paxin1_165074	5e-19	29%	82.0
YOL148C				
YOL149W				
YOL150C				
YOL151W	Paxin1_138878	4e-58	37%	191
YOL151W	Paxin1_141521	2e-56	37%	186
YOL151W	Paxin1_102273	1e-50	35%	171
YOL152W	Paxin1_172621	4e-23	25%	102
YOL152W	Paxin1_102586	4e-22	24%	99.8
YOL152W	Paxin1_102629	7e-22	23%	99.0
YOL152W	Paxin1_171054	3e-21	25%	97.1
YOL152W	Paxin1_92374	5e-20	26%	92.0
YOL153C	Paxin1_66863	6e-105	41%	323
YOL153C	Paxin1_65743	1e-94	36%	301
YOL153C	Paxin1_6628	1e-69	36%	231
YOL154W				
YOL155C				
YOL155W-A				
YOL156W	Paxin1_86777	1e-120	39%	365
YOL156W	Paxin1_113728	3e-85	32%	274
YOL156W	Paxin1_169976	2e-83	33%	269
YOL156W	Paxin1_169083	6e-59	28%	205
YOL156W	Paxin1_169734	1e-51	31%	184
YOL157C	Paxin1_169442	4e-162	43%	474
YOL158C	Paxin1_63937	5e-56	26%	198
YOL159C				
YOL159C-A				
YOL160W				
YOL161C				
YOL162W	Paxin1_78993	2e-45	43%	157
YOL163W	Paxin1_78993	1e-63	55%	204
YOL163W	Paxin1_167193	4e-19	30%	82.0
YOL163W	Paxin1_62656	5e-19	28%	80.9
YOL163W	Paxin1_167190	1e-17	28%	78.2
YOL163W	Paxin1_117536	2e-17	27%	77.0
YOL164W				
YOL164W-A				
YOL165C	Paxin1_167758	1e-36	49%	127
YOL166C				
YOL166W-A				
YOR001W	Paxin1_111558	5e-74	30%	257
YOR002W	Paxin1_78167	1e-117	43%	360
YOR002W	Paxin1_96413	5e-31	26%	125
YOR003W	Paxin1_18477	2e-110	40%	335
YOR004W	Paxin1_95138	2e-54	41%	175
YOR005C	Paxin1_106326	3e-79	28%	277
YOR005C	Paxin1_165165	3e-25	27%	111
YOR006C	Paxin1_168849	1e-69	46%	217
YOR007C	Paxin1_64785	3e-24	33%	97.8
YOR007C	Paxin1_136168	2e-12	35%	66.6
YOR008C				
YOR008C-A				
YOR008W-B				
YOR009W				
YOR010C				
YOR011W	Paxin1_113734	0.0	33%	712
YOR011W	Paxin1_117609	0.0	32%	678
YOR011W	Paxin1_169539	0.0	32%	676
YOR011W	Paxin1_12440	0.0	32%	663
YOR011W	Paxin1_170181	0.0	32%	631
YOR011W-A				
YOR012W				
YOR013W				
YOR014W	Paxin1_162474	0.0	59%	576
YOR015W				
YOR016C	Paxin1_69109	8e-21	28%	85.5
YOR016C	Paxin1_166164	3e-17	29%	75.9
YOR017W	Paxin1_60409	1e-64	36%	223
YOR017W	Paxin1_182447	1e-38	41%	149
YOR018W	Paxin1_103730	2e-18	27%	89.4
YOR018W	Paxin1_21015	4e-18	27%	88.2
YOR019W				
YOR020C	Paxin1_159399	7e-31	57%	104
YOR020W-A				
YOR021C	Paxin1_168604	9e-46	39%	150
YOR022C				
YOR023C				
YOR024W				
YOR025W	Paxin1_124663	3e-69	42%	227
YOR025W	Paxin1_135316	2e-47	33%	171
YOR025W	Paxin1_66887	7e-28	29%	115
YOR025W	Paxin1_173346	1e-22	25%	97.8
YOR026W	Paxin1_171655	3e-32	26%	122
YOR026W	Paxin1_169908	1e-20	26%	90.1
YOR027W	Paxin1_136168	6e-13	37%	70.5
YOR027W	Paxin1_165811	6e-13	41%	70.5
YOR027W	Paxin1_115245	1e-12	33%	68.9
YOR027W	Paxin1_64785	3e-11	42%	62.0
YOR028C				
YOR029W				
YOR030W				
YOR031W				
YOR032C				
YOR032W-A				
YOR033C	Paxin1_78636	3e-79	43%	255
YOR033C	Paxin1_136131	3e-16	36%	82.0
YOR033C	Paxin1_111017	9e-15	27%	76.3
YOR034C	Paxin1_34576	7e-11	38%	58.2
YOR034C-A				
YOR035C				
YOR036W	Paxin1_98060	4e-22	31%	90.1
YOR036W	Paxin1_16173	3e-21	28%	89.7
YOR037W	Paxin1_174514	4e-25	26%	103
YOR038C	Paxin1_169722	4e-22	24%	101
YOR039W	Paxin1_171403	1e-71	44%	219
YOR039W	Paxin1_166338	4e-47	44%	159
YOR040W	Paxin1_130823	2e-52	39%	171
YOR041C				
YOR042W				
YOR043W	Paxin1_80351	2e-31	31%	122
YOR044W				
YOR045W				
YOR046C	Paxin1_13729	2e-175	56%	500
YOR046C	Paxin1_108322	8e-91	41%	281
YOR046C	Paxin1_11322	2e-80	42%	254
YOR046C	Paxin1_168904	2e-62	34%	209
YOR046C	Paxin1_164948	2e-50	30%	176
YOR047C				
YOR048C	Paxin1_48683	2e-83	42%	295
YOR049C	Paxin1_95276	5e-29	28%	113
YOR049C	Paxin1_158974	2e-23	28%	96.7
YOR049C	Paxin1_166231	4e-19	29%	85.5
YOR049C	Paxin1_20482	4e-12	28%	64.7
YOR050C				
YOR051C				
YOR052C	Paxin1_112937	4e-13	46%	59.7
YOR053W				
YOR054C	Paxin1_72561	2e-34	47%	127
YOR055W				
YOR056C	Paxin1_7610	1e-30	33%	124
YOR057W	Paxin1_159797	1e-20	33%	87.8
YOR058C	Paxin1_114030	3e-17	26%	85.5
YOR059C	Paxin1_125466	3e-26	32%	108
YOR060C				
YOR061W	Paxin1_164999	1e-128	59%	370
YOR061W	Paxin1_166842	3e-118	53%	344
YOR061W	Paxin1_168023	3e-38	34%	139
YOR061W	Paxin1_166586	2e-35	33%	129
YOR061W	Paxin1_162977	7e-35	29%	131
YOR062C				
YOR063W	Paxin1_166104	0.0	74%	592
YOR064C	Paxin1_96649	2e-17	46%	78.2
YOR064C	Paxin1_106090	2e-14	47%	70.5
YOR065W	Paxin1_165672	1e-130	70%	374
YOR066W				
YOR067C	Paxin1_96413	1e-114	38%	351
YOR067C	Paxin1_78167	9e-20	30%	92.0
YOR068C				
YOR069W	Paxin1_66192	7e-34	29%	135
YOR070C	Paxin1_179386	7e-86	51%	273
YOR070C	Paxin1_168295	3e-13	26%	72.0
YOR070C	Paxin1_168334	6e-13	26%	70.9
YOR071C	Paxin1_179500	1e-53	26%	190
YOR071C	Paxin1_114363	2e-53	26%	189
YOR071C	Paxin1_121110	2e-34	26%	135
YOR071C	Paxin1_90669	2e-16	29%	77.0
YOR072W				
YOR072W-A				
YOR072W-B				
YOR073W				
YOR073W-A				
YOR074C	Paxin1_82086	7e-142	63%	401
YOR074C	Paxin1_7012	6e-19	50%	80.5
YOR075W				
YOR076C	Paxin1_65274	3e-12	25%	68.6
YOR077W	Paxin1_167600	7e-35	36%	125
YOR078W				
YOR079C	Paxin1_167778	1e-15	25%	74.7
YOR080W				
YOR081C	Paxin1_174571	5e-69	30%	242
YOR082C				
YOR083W				
YOR084W				
YOR085W	Paxin1_131235	1e-12	22%	66.6
YOR086C	Paxin1_5647	5e-143	29%	468
YOR087W	Paxin1_166432	9e-57	29%	202
YOR089C	Paxin1_64321	5e-75	52%	226
YOR089C	Paxin1_103177	3e-67	54%	204
YOR089C	Paxin1_74227	2e-47	38%	154
YOR089C	Paxin1_170075	2e-40	42%	136
YOR089C	Paxin1_168142	9e-39	43%	132
YOR090C	Paxin1_7623	2e-75	38%	247
YOR090C	Paxin1_172028	4e-37	37%	137
YOR090C	Paxin1_172220	9e-37	37%	137
YOR090C	Paxin1_111728	2e-14	23%	74.7
YOR090C	Paxin1_109206	2e-14	31%	74.7
YOR091W	Paxin1_137412	6e-83	56%	254
YOR092W	Paxin1_76428	2e-24	36%	105
YOR093C				
YOR094W	Paxin1_167293	1e-78	61%	231
YOR094W	Paxin1_166405	2e-71	55%	213
YOR094W	Paxin1_166172	2e-60	52%	185
YOR094W	Paxin1_166016	3e-49	46%	157
YOR094W	Paxin1_81714	1e-34	54%	117
YOR095C	Paxin1_163875	5e-75	52%	228
YOR096W	Paxin1_166107	2e-85	64%	249
YOR097C				
YOR098C				
YOR099W	Paxin1_112419	2e-126	52%	368
YOR099W	Paxin1_93790	3e-118	55%	344
YOR099W	Paxin1_162287	1e-110	50%	324
YOR099W	Paxin1_96849	2e-73	54%	228
YOR099W	Paxin1_140237	6e-41	51%	141
YOR100C	Paxin1_120432	1e-80	46%	246
YOR100C	Paxin1_168848	1e-34	27%	127
YOR100C	Paxin1_90326	4e-31	34%	116
YOR100C	Paxin1_87058	2e-29	31%	113
YOR100C	Paxin1_120324	2e-27	36%	105
YOR101W	Paxin1_163463	2e-71	75%	219
YOR101W	Paxin1_165008	8e-53	48%	171
YOR101W	Paxin1_171512	9e-39	46%	134
YOR101W	Paxin1_166327	2e-38	46%	133
YOR101W	Paxin1_73497	6e-29	35%	109
YOR102W				
YOR103C	Paxin1_174448	1e-21	44%	82.8
YOR104W				
YOR105W				
YOR106W				
YOR107W				
YOR108C-A				
YOR108W	Paxin1_172130	0.0	52%	597
YOR108W	Paxin1_163505	0.0	50%	565
YOR108W	Paxin1_91891	3e-99	49%	312
YOR109W	Paxin1_67439	0.0	39%	647
YOR109W	Paxin1_104780	4e-55	29%	203
YOR109W	Paxin1_162333	1e-46	38%	181
YOR109W	Paxin1_82108	1e-34	28%	142
YOR109W	Paxin1_175376	2e-33	27%	138
YOR110W	Paxin1_65194	2e-39	35%	142
YOR111W	Paxin1_115991	4e-26	34%	100
YOR111W	Paxin1_116078	7e-25	33%	97.4
YOR111W	Paxin1_87436	8e-23	32%	91.7
YOR111W	Paxin1_12768	2e-22	33%	90.1
YOR112W	Paxin1_70414	2e-36	25%	144
YOR113W	Paxin1_131211	6e-22	42%	100
YOR113W	Paxin1_95840	7e-22	40%	100
YOR113W	Paxin1_107581	8e-14	41%	67.4
YOR113W	Paxin1_166850	2e-11	46%	60.5
YOR113W	Paxin1_154238	7e-11	43%	65.1
YOR114W				
YOR115C	Paxin1_169457	1e-19	37%	83.2
YOR116C	Paxin1_166008	0.0	56%	1580
YOR116C	Paxin1_164838	0.0	34%	745
YOR116C	Paxin1_108316	4e-120	32%	413
YOR116C	Paxin1_90063	1e-27	48%	109
YOR116C	Paxin1_84224	6e-27	53%	107
YOR117W	Paxin1_167712	0.0	71%	625
YOR117W	Paxin1_81037	6e-104	41%	315
YOR117W	Paxin1_167990	2e-98	49%	301
YOR117W	Paxin1_168327	2e-95	38%	292
YOR117W	Paxin1_103492	9e-95	50%	290
YOR118W				
YOR119C	Paxin1_72195	3e-90	41%	285
YOR120W	Paxin1_176497	6e-85	48%	257
YOR120W	Paxin1_137693	7e-82	43%	249
YOR120W	Paxin1_169060	4e-78	45%	240
YOR120W	Paxin1_104120	4e-64	44%	202
YOR120W	Paxin1_175105	6e-55	33%	178
YOR121C				
YOR122C	Paxin1_168741	2e-35	48%	117
YOR123C	Paxin1_95809	2e-18	29%	87.0
YOR124C	Paxin1_124839	5e-66	29%	244
YOR125C	Paxin1_175815	7e-44	40%	146
YOR126C	Paxin1_168238	1e-25	28%	99.8
YOR127W	Paxin1_167139	4e-22	34%	102
YOR127W	Paxin1_164934	3e-15	29%	79.3
YOR127W	Paxin1_165678	1e-12	25%	71.2
YOR127W	Paxin1_165514	1e-11	26%	67.4
YOR128C	Paxin1_167496	0.0	53%	550
YOR128C	Paxin1_18731	4e-26	50%	109
YOR129C				
YOR130C	Paxin1_169133	1e-55	40%	181
YOR130C	Paxin1_168848	1e-31	29%	118
YOR130C	Paxin1_120432	1e-28	26%	110
YOR130C	Paxin1_87058	6e-28	30%	108
YOR130C	Paxin1_165325	5e-27	30%	109
YOR131C				
YOR132W	Paxin1_166438	5e-30	26%	123
YOR133W	Paxin1_165289	0.0	76%	1347
YOR133W	Paxin1_165449	0.0	37%	599
YOR133W	Paxin1_162006	7e-79	25%	273
YOR133W	Paxin1_182026	6e-26	36%	112
YOR133W	Paxin1_43706	2e-23	49%	94.0
YOR134W	Paxin1_170478	3e-47	38%	166
YOR135C				
YOR136W	Paxin1_166227	2e-145	63%	415
YOR136W	Paxin1_19825	3e-127	64%	367
YOR136W	Paxin1_166347	2e-95	44%	288
YOR136W	Paxin1_91581	2e-78	59%	239
YOR136W	Paxin1_166170	9e-52	36%	175
YOR137C				
YOR138C				
YOR139C				
YOR140W	Paxin1_75006	3e-16	52%	79.3
YOR140W	Paxin1_10331	2e-13	46%	72.8
YOR141C	Paxin1_95903	6e-54	36%	197
YOR142W	Paxin1_165211	4e-109	56%	320
YOR142W	Paxin1_11971	6e-15	27%	74.7
YOR142W-A				
YOR142W-B	Paxin1_52879	3e-22	32%	96.7
YOR142W-B	Paxin1_52825	1e-20	33%	94.0
YOR142W-B	Paxin1_52884	2e-20	24%	95.5
YOR142W-B	Paxin1_48658	1e-12	33%	67.0
YOR143C	Paxin1_103369	2e-24	29%	99.0
YOR143C	Paxin1_16319	9e-24	29%	97.8
YOR144C				
YOR145C	Paxin1_85921	2e-83	66%	248
YOR146W				
YOR147W	Paxin1_109930	1e-16	27%	81.3
YOR148C				
YOR149C	Paxin1_120945	4e-37	27%	143
YOR149C	Paxin1_113555	9e-31	29%	123
YOR150W	Paxin1_67238	3e-46	55%	147
YOR151C	Paxin1_64693	0.0	68%	1726
YOR151C	Paxin1_9235	0.0	37%	748
YOR151C	Paxin1_174807	8e-107	29%	364
YOR152C				
YOR153W	Paxin1_169539	0.0	39%	1015
YOR153W	Paxin1_12440	0.0	39%	996
YOR153W	Paxin1_113734	0.0	39%	996
YOR153W	Paxin1_117609	0.0	39%	995
YOR153W	Paxin1_170181	0.0	39%	954
YOR154W	Paxin1_169412	2e-30	31%	125
YOR155C				
YOR156C	Paxin1_165186	2e-32	34%	133
YOR157C	Paxin1_69397	3e-107	59%	310
YOR157C	Paxin1_168130	1e-21	32%	91.3
YOR157C	Paxin1_160766	2e-19	27%	83.6
YOR158W				
YOR159C	Paxin1_64228	6e-29	54%	98.6
YOR160W	Paxin1_165210	3e-91	27%	310
YOR160W	Paxin1_167355	2e-13	22%	73.6
YOR161C	Paxin1_167282	3e-75	37%	246
YOR161C-C				
YOR161W-A				
YOR161W-B				
YOR162C				
YOR163W	Paxin1_170495	3e-17	32%	73.6
YOR164C				
YOR165W	Paxin1_8839	1e-151	37%	459
YOR166C				
YOR167C	Paxin1_99257	9e-33	86%	115
YOR167C	Paxin1_63256	4e-26	75%	89.7
YOR168W	Paxin1_166411	0.0	45%	710
YOR168W	Paxin1_172129	7e-75	38%	258
YOR168W	Paxin1_127567	2e-14	24%	75.5
YOR169C				
YOR170W				
YOR171C	Paxin1_168224	6e-41	31%	154
YOR172W				
YOR173W	Paxin1_177308	7e-44	31%	153
YOR174W				
YOR175C	Paxin1_125984	7e-102	37%	318
YOR176W	Paxin1_161241	1e-122	56%	358
YOR177C				
YOR178C				
YOR179C				
YOR180C				
YOR181W	Paxin1_155297	8e-30	45%	122
YOR182C	Paxin1_10917	1e-24	82%	86.3
YOR183W				
YOR184W	Paxin1_113044	9e-67	36%	216
YOR185C	Paxin1_162517	4e-134	84%	374
YOR185C	Paxin1_73497	2e-27	34%	102
YOR185C	Paxin1_74227	4e-26	34%	99.8
YOR185C	Paxin1_170075	5e-26	33%	99.4
YOR185C	Paxin1_64035	8e-26	32%	98.6
YOR186C-A				
YOR186W				
YOR187W	Paxin1_165106	0.0	66%	561
YOR187W	Paxin1_65274	5e-44	31%	159
YOR187W	Paxin1_67099	2e-35	30%	136
YOR187W	Paxin1_160566	2e-32	30%	126
YOR187W	Paxin1_80444	2e-19	27%	89.4
YOR188W				
YOR189W				
YOR190W	Paxin1_165343	1e-79	39%	251
YOR190W	Paxin1_73315	3e-54	34%	192
YOR190W	Paxin1_83747	2e-43	30%	161
YOR190W	Paxin1_171666	3e-27	28%	113
YOR190W	Paxin1_154780	1e-18	36%	84.3
YOR191W	Paxin1_173096	3e-65	34%	242
YOR191W	Paxin1_10741	3e-57	32%	211
YOR191W	Paxin1_165253	4e-49	26%	191
YOR191W	Paxin1_21084	3e-47	34%	181
YOR191W	Paxin1_68178	1e-39	30%	158
YOR192C	Paxin1_114363	1e-54	27%	193
YOR192C	Paxin1_179500	3e-54	28%	192
YOR192C	Paxin1_121110	1e-37	27%	144
YOR192C	Paxin1_90669	7e-16	32%	75.1
YOR192C-A				
YOR192C-B	Paxin1_52884	2e-20	23%	95.5
YOR192C-B	Paxin1_52879	3e-20	31%	90.9
